symptom_text,severity,disease,total_weight
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
muscle_weakness stiff_neck swelling_joints movement_stiffness,MEDIUM,Arthritis,16
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,52
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,57
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,16
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
fatigue cramps bruising obesity swollen_legs prominent_veins_on_calf,HIGH,Varicose veins,27
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
headache chest_pain loss_of_balance lack_of_concentration,MEDIUM,Hypertension,17
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,32
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
burning_micturition bladder_discomfort continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,32
chills vomiting weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,71
itching skin_rash dischromic _patches,LOW,Fungal infection,4
itching skin_rash nodal_skin_eruptions,LOW,Fungal infection,8
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite yellowing_of_eyes,HIGH,Hepatitis D,32
vomiting headache altered_sensorium,LOW,Paralysis (brain hemorrhage),10
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck irritability visual_disturbances,HIGH,Migraine,29
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
chills vomiting fatigue high_fever headache nausea constipation diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
vomiting yellowish_skin abdominal_pain swelling_of_stomach history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,28
fatigue yellowish_skin nausea yellowing_of_eyes family_history,MEDIUM,Hepatitis C,21
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
vomiting headache spinning_movements loss_of_balance unsteadiness,MEDIUM,(vertigo) Paroymsal  Positional Vertigo,22
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
skin_rash chills joint_pain vomiting high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,51
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,75
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,44
fatigue cough high_fever family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
itching skin_rash fatigue lethargy headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,HIGH,Chicken pox,37
continuous_sneezing shivering chills watering_from_eyes,MEDIUM,Allergy,16
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,31
chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,73
itching skin_rash nodal_skin_eruptions,LOW,Fungal infection,8
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails,MEDIUM,Psoriasis,13
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
itching skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,8
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
vomiting headache nausea spinning_movements loss_of_balance,MEDIUM,(vertigo) Paroymsal  Positional Vertigo,23
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
constipation pain_in_anal_region bloody_stool irritation_in_anus,MEDIUM,Dimorphic hemmorhoids(piles),21
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine,HIGH,Jaundice,27
chills vomiting high_fever sweating nausea diarrhoea muscle_pain,HIGH,Malaria,31
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression visual_disturbances,HIGH,Migraine,30
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
skin_rash blister red_sore_around_nose yellow_crust_ooze,LOW,Impetigo,12
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
itching vomiting yellowish_skin loss_of_appetite abdominal_pain yellowing_of_eyes,MEDIUM,Chronic cholestasis,21
vomiting fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations,CRITICAL,Hypoglycemia,47
itching nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,5
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
skin_rash pus_filled_pimples blackheads scurring,LOW,Acne,9
headache chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,21
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
vomiting headache weakness_of_one_body_side,LOW,Paralysis (brain hemorrhage),12
continuous_sneezing shivering chills watering_from_eyes,MEDIUM,Allergy,16
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,17
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain,HIGH,Hepatitis D,32
skin_rash pus_filled_pimples blackheads scurring,LOW,Acne,9
vomiting headache altered_sensorium,LOW,Paralysis (brain hemorrhage),10
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
pus_filled_pimples blackheads scurring,LOW,Acne,6
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,32
breathlessness sweating chest_pain,MEDIUM,Heart attack,14
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
fatigue cough high_fever breathlessness mucoid_sputum,MEDIUM,Bronchial Asthma,23
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,HIGH,Peptic ulcer diseae,27
skin_rash pus_filled_pimples blackheads,LOW,Acne,7
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
stomach_pain acidity ulcers_on_tongue vomiting cough,MEDIUM,GERD,21
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
chills vomiting fatigue high_fever headache nausea abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
vomiting fatigue anxiety sweating headache blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations,CRITICAL,Hypoglycemia,42
continuous_sneezing chills watering_from_eyes,LOW,Allergy,11
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
burning_micturition bladder_discomfort continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
fatigue weight_gain cold_hands_and_feets mood_swings dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,51
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
muscle_weakness stiff_neck swelling_joints painful_walking,MEDIUM,Arthritis,13
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
skin_rash pus_filled_pimples blackheads scurring,LOW,Acne,9
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
skin_rash high_fever blister red_sore_around_nose,MEDIUM,Impetigo,16
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,HIGH,Peptic ulcer diseae,27
skin_rash joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
headache chest_pain loss_of_balance lack_of_concentration,MEDIUM,Hypertension,17
skin_rash pus_filled_pimples blackheads scurring,LOW,Acne,9
skin_rash pus_filled_pimples blackheads,LOW,Acne,7
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,HIGH,Peptic ulcer diseae,27
fatigue yellowish_skin nausea yellowing_of_eyes family_history,MEDIUM,Hepatitis C,21
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
continuous_sneezing shivering chills,LOW,Allergy,12
skin_rash blister red_sore_around_nose yellow_crust_ooze,LOW,Impetigo,12
joint_pain yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,40
headache chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,21
chills vomiting fatigue weight_loss cough high_fever breathlessness loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,72
fatigue cramps bruising swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,28
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
vomiting breathlessness sweating chest_pain,MEDIUM,Heart attack,19
itching vomiting fatigue weight_loss high_fever dark_urine abdominal_pain,HIGH,Jaundice,28
chills vomiting fatigue weight_loss cough high_fever breathlessness loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,72
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
